,tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux,Sectors
41177,00258956843-01,258956843,1,3,7083.0,3.81605,0.84718,1.26443e-05,2.73404,0.234753,0.00976666,1.4692,0.0203764,2.56423,87.1772,7.89063,2.64266,1684.15,0.00106592,0.133613,0.898026,18.63165,0.26104,321,162.2056,11.15201,2.75126,3506.1,35712.3,"14,15,16,17,18,19,20,21,22,23"
41178,00258956843-02,258956843,2,3,7083.0,3.81605,0.847362,6.60639e-06,3.88184,0.190726,0.0138669,1.32321,0.0203793,2.56423,175.77,7.77703,3.27452,1683.53,0.000707606,0.235713,0.897835,11.34654,0.30692,321,229.6218,16.4456,4.23959,3505.85,35702.1,"14,15,16,17,18,19,20,21,22,23"
41179,00258956843-03,258956843,3,3,7083.0,3.81605,0.847193,1.11255e-05,2.72308,0.225721,0.00972751,1.489,0.0203766,2.56423,86.7096,6.53021,2.60656,1683.88,0.00102882,0.128427,0.895653,0.0,0.42357,320,366.129,11.4047,5.11505,3506.08,35711.5,"14,15,16,17,18,19,20,21,22,23"
41180,00258957113-01,258957113,1,1,6599.0,4.35788,0.997881,1.98459e-05,2.19339,0.213742,0.0156118,1.51415,0.0217542,1.28695,219.726,27.4963,3.02497,1683.59,0.00192518,0.240781,0.900009,5.65497,0.62498,272,242.2928,7.99375,3.0973,2239.65,5946.21,"14,15,16,17,18,19,20,21,22,23"
41184,00259006185-03,259006185,3,4,7130.0,4.30753,0.969773,1.52159e-05,2.03833,1.20044,0.0127531,2.68241,0.0223777,1.46405,182.895,18.2804,2.85556,1683.45,0.0037246,0.0381507,0.1,9.09666,0.36664,280,142.5055,12.46952,4.2828,2544.79,9911.22,"14,15,16,17,18,19,20,21,22,23"
41185,00259006185-04,259006185,4,4,7130.0,4.30753,0.969807,9.77969e-06,1.9482,1.67435,0.0121892,5.67143,0.0223782,1.46405,167.022,14.28,1.32284,1683.83,0.00185361,0.0162603,0.101319,6.47415,0.21387,280,223.6006,10.49967,4.78325,2544.76,9910.75,"14,15,16,17,18,19,20,21,22,23"
41186,00259036361-01,259036361,1,2,6374.0,4.27484,0.308299,9.10272e-06,1.11795,0.356456,0.00752421,1.26753,0.00968252,1.361,51.2991,5.78549,1.29127,1683.4,0.00105429,0.0502135,0.891336,11.59868,0.16248,881,626.2496,10.41428,2.82355,3334.56,29219.8,"14,15,16,17,18,19,20,21,22,23"
41187,00259036361-02,259036361,2,2,6374.0,4.27484,0.308323,1.10557e-05,1.04376,0.827508,0.0070249,2.08848,0.00968302,1.361,56.496,6.7218,1.18467,1683.55,0.000908775,0.00902858,0.0297668,0.0,0.15276,881,1171.298,10.83043,3.81582,3334.48,29216.7,"14,15,16,17,18,19,20,21,22,23"
41188,00259039727-01,259039727,1,2,7009.0,4.12251,0.846826,1.32229e-05,2.0642,0.384193,0.0105884,1.83853,0.0202488,1.78574,117.674,10.2024,3.0279,1683.99,0.00101661,0.0582294,0.646922,15.19269,0.43147,320,210.2366,10.87158,3.42668,2904.4,16817.0,"14,15,16,17,18,19,20,21,22,23"
41189,00259039727-02,259039727,2,2,7009.0,4.12251,0.846854,1.06028e-05,2.27723,0.312284,0.0116812,1.78236,0.0202493,1.78574,141.34,10.0762,3.02524,1683.57,0.000848142,0.0706604,0.688776,0.33178,0.61803,321,389.8698,14.67747,4.64397,2904.37,16816.3,"14,15,16,17,18,19,20,21,22,23"
41190,00259098122-01,259098122,1,3,5946.0,4.41451,0.374406,5.35307e-06,2.65584,1.28494,0.0227093,2.79494,0.0104588,1.07126,591.285,47.0191,1.03627,1683.44,0.000333489,0.0258627,0.271896,17.14511,0.1847,726,207.2086,10.8716,2.81879,2655.35,11749.3,"14,15,16,17,18,19,20,21,22,23"
41191,00259098122-02,259098122,2,3,5946.0,4.41451,0.748797,7.85872e-06,3.44229,0.251317,0.029434,1.67785,0.0166022,1.07126,764.234,76.6827,2.06384,1684.0,0.000623938,0.289338,0.899909,26.60293,0.37236,362,156.2394,13.83325,2.64387,2107.57,4662.82,"14,15,16,17,18,19,20,21,22,23"
41192,00259098122-03,259098122,3,3,5946.0,4.41451,0.748792,6.09105e-06,9.89297,1.98204,0.084592,1.22815,0.0166021,1.07126,3060.62,87.8958,3.74787,1683.62,0.00100974,1.87394,0.990105,0.0,0.37436,363,209.6796,18.26055,4.33903,2107.57,4662.86,"14,15,16,17,18,19,20,21,22,23"
41193,00259102835-01,259102835,1,2,7473.0,4.438,0.318716,6.60572e-05,1.35134,1.01114,0.00664776,1.57048,0.0138277,1.86203,40.501,31.6051,0.872994,1683.44,0.00249213,0.0306206,0.899599,24.0811,0.16387,852,393.25,14.87689,3.59869,3826.53,50669.2,"14,15,16,17,18,19,20,21,22,23"
41194,00259102835-02,259102835,2,2,7473.0,4.438,0.318718,4.01834e-06,4.98812,0.164393,0.0245385,1.51047,0.0138277,1.86203,551.219,29.5007,1.0115,1683.6,0.000227976,0.121871,0.9,0.0,0.15898,852,543.4421,23.05981,3.78974,3826.53,50668.9,"14,15,16,17,18,19,20,21,22,23"
41197,00259132389-01,259132389,1,3,6678.0,4.1074,0.368238,1.0565e-05,1.62587,0.730583,0.00857117,2.26069,0.0112807,1.73757,75.8412,9.84049,0.9693,1683.71,0.00105849,0.0166539,0.7,11.28907,0.12103,738,604.6944,11.50377,3.56,3657.14,42275.3,"14,15,16,17,18,19,20,21,22,23"
